ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource
154271,Abramis,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abramis,Genus,NA,82,0,0.01,3,Generic_Cube
126957,Acantholabrus palloni,"(Risso, 1810)",Animalia,Chordata,Actinopteri,Perciformes,Labridae,Acantholabrus,Species,Scale-rayed wrasse,25,0.86,0.0108,3.074,FishBase
126279,Acipenser sturio,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Species,Sturgeon,600,4.19,0.0041,3.04,FishBase
871951,Aetomylaeus bovinus,"(Geoffroy Saint-Hilaire, 1817)",Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Pteromylaeus,Species,Bull ray,222,45,0.0182,3,FB_Baysian_(Sub)family-body shape
127190,Agonus cataphractus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Agonidae,Agonus,Species,Hooknose,21,1.6,0.02,2.75,MS-S
125507,Alepocephalidae,"Bonaparte, 1846",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,0,Family,NA,100,0,0.003975519,3.116667,Mean_Species
126682,Alepocephalus bairdii,"Goode & Bean, 1879",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,Species,Baird's slickhead,100,6.23,0.0028,3.21,FishBase
126684,Alepocephalus rostratus,"Risso, 1820",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,Species,Risso's smooth-head,50,5.53,0.0034,3.14,FishBase
125715,Alosa,"Linck, 1790",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Genus,NA,70,0,0.00672392,3.083333,Mean_Species
416357,Alosa agone,"(Scopoli, 1786)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Agone,39,3.9,0.0132,2.94,FishBase
126413,Alosa alosa,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Allis shad,70,4.45,0.0049,3.2,FishBase
126415,Alosa fallax,"(Lacepède, 1803)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Twaite shad,60,2.7,0.0047,3.11,FishBase
105865,Amblyraja radiata,"(Donovan, 1808)",Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Species,Starry ray,105,9.8,0.00842,2.944,MS-S
125909,Ammodytes,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Genus,NA,25,0,0.002368544,3.06,Mean_Species
126751,Ammodytes marinus,"Raitt, 1934",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Species,Lesser sandeel,25,2.6,0.0017,3.21,FishBase
126752,Ammodytes tobianus,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Species,Small sandeel,20,2,0.0033,2.91,FishBase
125516,Ammodytidae,"Bonaparte, 1835",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,0,Family,NA,40,0,0.002062183,3.108917,Mean_Species
126758,Anarhichas lupus,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Species,Catfish,150,3.6,0.0029,3.28,FishBase
126759,Anarhichas minor,"Olafsen, 1772",Animalia,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Species,Spotted catfish,180,3.4,0.00172,3.399,FishBase
125620,Anguilla,"Schrank, 1798",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Genus,NA,133,0,0.0009,3.19,Mean_Species
126281,Anguilla anguilla,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Species,European eel,133,7.6,0.0009,3.19,FishBase
125425,Anguillidae,"Rafinesque, 1810",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,0,Family,NA,133,,0.0009,3.19,Mean_Species
