Species,TL,SE,analysis,source,,,,,
Abudefduf spp,3,0.33,FB/SLB,www.fishbase.org,,,,,
Acantephyra eximia,2.5,0.35,labtroph,,,,,,
Acantephyra pelagica,2.5,0.35,labtroph,,,,,,
Acantephyra purpurea,2.5,0.35,labtroph,,,,,,
Acantephyra spp,2.5,0.35,labtroph,,,,,,
Acanthocardia aculeata,2.5,0.35,labtroph,,,,,,
Acanthocardia echinata,2.1,0.35,labtroph,,,,,,
Acanthocardia paucicostata,2.1,0.35,labtroph,,,,,,
Acanthocybium solandri,4.3,0.2,FB/SLB,www.fishbase.org,,,,,
Acantholabrus palloni,3.5,0.37,FB/SLB,www.fishbase.org,,,,,
Acipenser spp,3.5,0.51,,,,,,,
Acipenser sturio,3.5,0.51,FB/SLB,www.fishbase.org,,,,,
Acipenseridae,3.5,0.51,,,,,,,
Actinauge richardi,2.34,0.35,labtroph,,,,,,
Actinia roja,2.34,0.35,labtroph,,,,,,
Actinia,2.34,0.35,labtroph,,,,,,
Actinopterigios,3.5,0.5,,,,,,,
Adamsia carcinopados,2.7,0.35,,,,,,,
Adamsia palliata,2.7,0.35,,,,,,,
Aequipecten opercularis,2.2,0.04,Local IA,Chouvelon et al. 2012,,,,,
Alcionum palmatum,2.34,0.35,labtroph,,,,,,
Alcyonium palmatum,2.34,0.35,labtroph,,,,,,
Alcyonium spp,2.34,0.35,labtroph,,,,,,
Alepocephalidae ,3.7,0.2,,,,,,,
Alepocephalus rostratus,3.7,0.2,fishbase,,,,,,
Algae,1,0.01,,,,,,,
Alloteuthis africana,3.71,0.35,,,,,,,
Alloteuthis media,4.45,0.35,,,,,,,
Alloteuthis spp,4.45,0.35,,,,,,,
Alloteuthis subulata,3.66,0.22,Non local IA,Navarro et al. 2011,,,,,
Alopias spp,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Alopias superciliosus,4.5,0.01,FB/SLB,,,,,,
Alopias vulpinus,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Alosa alosa,3.6,0.53,FB/SLB,www.fishbase.org,,,,,
"Alosa alosa, A. fallax",3.6,0.6,FB/SLB,www.fishbase.org,,,,,
Alosa fallax,3.6,0.6,FB/SLB,www.fishbase.org,,,,,
Alosa spp,3.6,0.6,FB/SLB,www.fishbase.org,,,,,
Alpheus dentipes,2.4,0.35,,,,,,,
Alpheus glaber,2.4,0.35,,"LeLoc'h et al., 2008",,,,,
Ammodytes marinus,2.7,0.3,FB/SLB,www.fishbase.org,,,,,
Ammodytes spp,3.7,0.04,Local IA,Chouvelon et al. 2012,,,,,
Ammodytes tobianus,3.7,0.04,Local IA,Chouvelon et al. 2012,,,,,
Ammodytidae,3.7,0.04,,,,,,,
Ampelisca aequicornis,3.1,0.35,,,,,,,
Ampelisca spp,2,0.35,labtroph,,,,,,
Ampeliscidae,2,0.35,,,,,,,
Amphipoda,2.3,0.35,,,,,,,
Amphiura filiformis,2.2,0.35,labtroph,,,,,,
Anacanthini ,3.5,0.35,,,,,,,
Anapagurus laevis,2,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Anapagurus spp,2.5,0.35,labtroph,,,,,,
Anarhichas lupus,4,0.35,Non local IA,Jennings et al. 2002,,,,,
