SpeciesSciName
Agonus cataphractus
Amblyraja radiata
Anarhichas lupus
Anarhichas minor
Anguilla anguilla
Aphia minuta
Arnoglossus imperialis
Arnoglossus laterna
Artediellus europaeus
Brama brama
Brosme brosme
Buglossidium luteum
Callionymus lyra
Callionymus maculatus
Callionymus reticulatus
Capros aper
Centrolabrus exoletus
Chelidonichthys cuculus
Chelidonichthys lucerna
Chimaera monstrosa
Ciliata mustela
Ciliata septentrionalis
Conger conger
Crystallogobius linearis
Ctenolabrus rupestris
Cyclopterus lumpus
Diplecogaster bimaculata
Dipturus batis
Echiichthys vipera
Echiodon drummondii
Enchelyopus cimbrius
Entelurus aequoreus
Etmopterus spinax
Eutrigla gurnardus
Gadus morhua
Gaidropsarus mediterraneus
Gaidropsarus vulgaris
Galeorhinus galeus
Glyptocephalus cynoglossus
Gobius cobitis
Gobius niger
Helicolenus dactylopterus
Hippoglossoides platessoides
Hippoglossus hippoglossus
Labrus bergylta
Lampetra fluviatilis
Lepidorhombus whiffiagoni
Leptagonus decagonus
Leptoclinus maculatus
Lesueurigobius friesii
Leucoraja circularis
Leucoraja fullonica
Leucoraja naevus
Limanda limanda
Liparis liparis
Liparis montagui
Lophius budegassa
Lophius piscatorius
Lumpenus lampretaeformis
Lycenchelys sarsii
Lycodes vahlii
Melanogrammus aeglefinus
Merlangius merlangus
Merluccius merluccius
Microchirus variegatus
Microstomus kitt
Molva dypterygia
Molva molva
Mullus barbatus
Mullus surmuletus
Mustelus asterias
Mustelus mustelus
Myoxocephalus scorpius
Myxine glutinosa
Pagellus erythrinus
Parablennius gattorugine
Pegusa lascaris
Petromyzon marinus
Pholis gunnellus
Phrynorhombus norvegicus
Phycis blennoides
Platichthys flesus
Pleuronectes platessa
Pollachius pollachius
Pollachius virens
Pomatoschistus microps
Pomatoschistus minutus
Pomatoschistus pictus
Psetta maxima
Raja brachyura
Raja clavata
Raja montagui
Raja undulata
Raniceps raninus
Scophthalmus rhombus
Scyliorhinus canicula
Scyliorhinus stellaris
Sebastes marinus
Sebastes viviparus
Solea vulgaris
Somniosus microcephalus
Spinachia spinachia
Spondyliosoma cantharus
Squalus acanthias
Symphodus melops
Syngnathus acus
Syngnathus rostellatus
Syngnathus typhle
Taurulus bubalis
Taurulus lilljeborgi
Trachinus draco
Triglops murrayi
Triglops pingelii
Trisopterus esmarkii
Trisopterus luscus
Trisopterus minutus
Zeugopterus punctatus
Zeugopterus regius
Zoarces viviparus
