CorrSciName,FRS Common Name,FRSCode,IDlevel,Habit,ALTname_survey,
Acantholabrus palloni,Scale-rayed wrasse,SWR,Species,DEMERSAL,,
Acentronura,Pipehorse unidentified,PUN,Higher,DEMERSAL,,
Acipenser sturio,Sturgeon,STU,Species,DEMERSAL,,
Agonus cataphractus,Hooknose,HOO,Species,DEMERSAL,,
Alepocephalidae,Smoothheads unidentified,SOO,Higher,DEMERSAL,,
Alepocephalus bairdii,Baird's slickhead,BSH,Species,PELAGIC,,
Alosa,Shad unidentified,SHU,Higher,PELAGIC,,
Alosa agone,Alosa agone,ALG,Species,PELAGIC,,
Alosa alosa,Allis shad,ASH,Species,PELAGIC,,
Alosa fallax,Twaite shad,TWS,Species,PELAGIC,,
Amblyraja radiata,Starry ray,STY,Species,DEMERSAL,,
Ammodytes marinus,Raitt's sandeel,RSA,Species,PELAGIC,,
Ammodytes tobianus,Common sandeel,CSA,Species,PELAGIC,,
Ammodytidae,Sandeels unidentified,SUN,Higher,PELAGIC,,
Anarhichadidae,Catfish unidentified,CAU,Higher,DEMERSAL,,
Anarhichas lupus,Catfish,CAT,Species,DEMERSAL,,
Anarhichas minor,Spotted catfish,SCA,Species,DEMERSAL,,
Anarhichas ocellatus,Wolf eel,WOE,Species,DEMERSAL,,
Anguilla anguilla,European eel,EEL,Species,DEMERSAL,,
Anguillidae,Eels unidentified,EEU,Higher,DEMERSAL,,
Aphanoplus carbo,Black scabbard,BSC,Species,DEMERSAL,,
Aphia minuta,Transparent goby,TGO,Species,DEMERSAL,,
Argentina silus,Greater argentine,GAR,Species,PELAGIC,,
Argentina sphyraena,Lesser argentine,LAR,Species,PELAGIC,,
Argentinidae,Argentines unidentified,ARU,Higher,PELAGIC,,
Argyropelecus,Hatchetfish unidentified,HAU,Higher,DEMERSAL,,
Argyropelecus hemigymnus,Half-naked hatchetfish,HNH,Species,DEMERSAL,,
Argyropelecus olfersi,Hatchetfish,HAT,Species,DEMERSAL,,
Argyrosomus regius,Meagre,MEA,Species,DEMERSAL,,
Arnoglossus,Scaldfish unidentified,SFU,Higher,DEMERSAL,,
Arnoglossus imperialis,Imperial scaldfish,ISC,Species,DEMERSAL,,
Arnoglossus laterna,Scaldfish,SCF,Species,DEMERSAL,,
Arnoglossus thori,Thor's scaldfish,THS,Species,DEMERSAL,,
Artediellus europaeus,Atlantic hook-ear sculpin,AHS,Species,DEMERSAL,,
Atherina,Friars unidentified,FRI,Higher,PELAGIC,,
Atherina presbyter,Sandsmelt,SSM,Species,PELAGIC,,
Atherinidae,Silversides unidentified,SIU,Higher,PELAGIC,,
Balistes,Triggerfish unidentified,TRU,Higher,PELAGIC,,
Balistes capriscus,Grey triggerfish,GTR,Species,PELAGIC,,
Bathysolea profundicola,Deepwater sole,BPR,Species,DEMERSAL,,
Belone belone,Garfish,GRF,Species,PELAGIC,,
Benthodesmus simonyi,Frostfish,FRO,Species,DEMERSAL,,
Beryx decadactylus,Alfonsino,BDE,Species,DEMERSAL,,
Beryx splendens,Spendid alfonsino,BSP,Species,DEMERSAL,,
Blenniidae,Blennies unidentified,BLU,Higher,DEMERSAL,,
Blennius ocellaris,Butterfly blenny,BBL,Species,DEMERSAL,,
Boops boops,Bogue,BOG,Species,DEMERSAL,,
Bothidae,Left eyed flounders,TPU,Higher,DEMERSAL,,
Brama brama,Ray's bream,RBE,Species,DEMERSAL,,
Brosme brosme,Torsk,TOR,Species,DEMERSAL,,
Buenia jeffreysii,Jeffrey's goby,JGO,Species,DEMERSAL,,
Buglossidium luteum,Solenette,SOL,Species,DEMERSAL,Buglossidium,in LW
Caelorinchus caelorhincus,Hollow snout grenadier,COC,Species,DEMERSAL,,
Callionymidae,Dragonet unidentified,DRU,Higher,DEMERSAL,Callionymus,in LW
Callionymus lyra,Dragonet,DRA,Species,DEMERSAL,,
Callionymus maculatus,Spotted dragonet,SDR,Species,DEMERSAL,,
Callionymus reticulatus,Reticulated dragonet,RDR,Species,DEMERSAL,,
Caproidae,Boarfish unidentified,BOU,Higher,DEMERSAL,,
Capros aper,Boarfish,BFI,Species,DEMERSAL,,
