ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource,SensFC1,DEMPEL,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,maximum.length,Ecotype,common.name,Order,Group,MaxL
154271,Abramis,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abramis,Genus,NA,82,0,0.01,3,Generic_Cube,Other,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126957,Acantholabrus palloni,"(Risso, 1810)",Animalia,Chordata,Actinopteri,Perciformes,Labridae,Acantholabrus,Species,Scale-rayed wrasse,25,0.86,0.0108,3.074,FishBase,Other,Demersal,5.861085737,-2.322949644,13.4008837,3.207667402,2.056848155,-1.881665439,5.167960435,15.86916669,31,Demersal,Scale-rayed wrasse,Perciformes,Other,31
126279,Acipenser sturio,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Species,Sturgeon,600,4.19,0.0041,3.04,FishBase,FC1,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871951,Aetomylaeus bovinus,"(Geoffroy Saint-Hilaire, 1817)",Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Pteromylaeus,Species,Bull ray,222,45,0.0182,3,FB_Baysian_(Sub)family-body shape,Other,Demersal,110.3893718,0.145679052,5466.432554,14.59248621,5.286349131,0.278446742,57.50201721,18.02435277,142,Benthopelagic,Bull ray,Myliobatiformes,Elasmobranchii,142
127190,Agonus cataphractus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Agonidae,Agonus,Species,Hooknose,21,1.6,0.02,2.75,MS-S,Other,Demersal,14.96218155,0.482797354,23.43946415,3.754293568,1.320116081,1.087639884,8.207854411,12.04026407,23,Demersal,Hooknose,Scorpaeniformes,Scorpaeniformes,23
125507,Alepocephalidae,"Bonaparte, 1846",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,0,Family,NA,100,0,0.003975519,3.116667,Mean_Species,Other,Other,42.44080853,0.22270401,937.3500823,17.56025246,5.715850633,0.377937578,28.19346763,10.87689821,37,#N/A,slick and smoothheads,Osmeriformes,Other,37
126682,Alepocephalus bairdii,"Goode & Bean, 1879",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,Species,Baird's slickhead,100,6.23,0.0028,3.21,FishBase,Other,Pelagic,61.91951366,0.134920691,2180.729244,26.7541413,8.601891614,0.221208492,40.67824879,9.947288073,31,Bathypelagic,Baird's slickhead,Osmeriformes,Other,31
126684,Alepocephalus rostratus,"Risso, 1820",Animalia,Chordata,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,Species,Risso's smooth-head,50,5.53,0.0034,3.14,FishBase,Other,Demersal,34.99369428,0.216259604,404.2607819,15.49468656,5.107913858,0.378380871,23.47913591,11.6403774,59,Bathydemersal,Risso's smooth-head,Osmeriformes,Other,59
125715,Alosa,"Linck, 1790",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Genus,NA,70,0,0.00672392,3.083333,Mean_Species,FC1,Pelagic,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,47,Pelagic,Alosa,Clupeiformes,Other,47
416357,Alosa agone,"(Scopoli, 1786)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Agone,39,3.9,0.0132,2.94,FishBase,Other,Pelagic,32.2352235,0.395850605,327.5860047,8.270754389,2.343134429,0.604273908,18.68128799,18.96208352,48,Pelagic,Agone,Clupeiformes,Other,48
126413,Alosa alosa,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Allis shad,70,4.45,0.0049,3.2,FishBase,FC1,Pelagic,67.84861926,0.312701356,3548.625076,10.44936425,3.000159251,0.465283476,36.85169211,19.84072578,69,Pelagic,Allis shad,Clupeiformes,Other,69
126415,Alosa fallax,"(Lacepède, 1803)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Species,Twaite shad,60,2.7,0.0047,3.11,FishBase,FC1,Pelagic,51.12125701,0.326346629,1248.699765,13.21282372,3.086096771,0.425035321,28.19650141,19.19619667,52,Pelagic,Twaite shad,Clupeiformes,Other,52
105865,Amblyraja radiata,"(Donovan, 1808)",Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Species,Starry ray,105,9.8,0.00842,2.944,MS-S,FC1,Demersal,90.13534384,0.117085901,3986.722986,16.38698108,7.331823696,0.230668335,54.0158443,12.07381593,84,Demersal,Starry ray,Rajiformes,Elasmobranchii,84
125909,Ammodytes,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Genus,NA,25,0,0.002368544,3.06,Mean_Species,Other,Other,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,54,Demersal,Sandeel,Perciformes,Other,25
126751,Ammodytes marinus,"Raitt, 1934",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Species,Lesser sandeel,25,2.6,0.0017,3.21,FishBase,Other,Other,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,54,Demersal,Sandeel,Perciformes,Other,25
