Taxonomic group,a,b,N,Min L (cm),Max L (cm) Fung,Location(s),Reference,Max L (cm) Hakan ICES IIIa,Max L (cm) Engelhard Ecotypes Nsea,Max L (cm)
Acentronura,0.0002,3.2326,Average over North Sea species in Syngnathidae,,,,,,,
Agonus cataphractus,0.0091,2.905,130,2.1,16.2,North Sea,Robinson et al. (2010),18,21,21
Alepocephalus bairdii,0.0028,3.21,5,12,75,U,Froese (1998),,,75
Amblyraja radiata,0.0056,3.121,19,10.6,45,North Sea,Robinson et al. (2010),66,90,90
Anarhichas lupus,0.0033,3.2491,58,32,84,North Sea,Coull et al. (1989),115,125,125
Anguilla anguilla,0.0006,3.313,957,10,60,Tadnoll Brook,Mann and Blackburn (1991),100,100,100
Arnoglossus,0.0047,3.218,Average over North Sea species in Arnoglossus,,,,,,,
Arnoglossus imperialis,0.0028,3.34,18,9,18, Cantábrico,Pereda and Villamor (1991),,,18
Arnoglossus laterna,0.0065,3.096,"1,342",1.6,19.4,North Sea,Robinson et al. (2010),17,20,20
Artediellus europaeus,0.0135,3.0641,Average over North Sea species in Cottidae,,,,,,,
Aspitrigla cuculus,0.0045,3.2228,480,12,46,West coast of Scotland,Coull et al. (1989),,50,50
Blenniidae,0.0093,3,Average over North Sea species in Blenniidae,,,,,,,
Bothidae,0.0047,3.218,Average over North Sea species in Bothidae,,,,,,,
Brosme brosme,0.0051,3.189,7,,,U,Bedford et al. (1986),,100,100
Buglossidium,0.0078,3.128,Average over North Sea species in Buglossidium,,,,,,,
Buglossidium luteum,0.0078,3.128,"3,410",1.2,16.6,North Sea,Robinson et al. (2010),15,15,16.6
Callionymidae,0.0135,2.6857,Average over North Sea species in Callionymidae,,,,,20,,20
Callionymus,0.0135,2.6857,Average over North Sea species in Callionymus,,,,,,,
Callionymus lyra,0.0086,2.927,256,2.6,22.8,North Sea,Robinson et al. (2010),26,30,30
Callionymus maculatus,0.0162,2.5781,66,10,16,North Sea,Coull et al. (1989),,16,16
Callionymus reticulatus,0.0158,2.552,33,1,17,North Sea,Robinson et al. (2010),6,11,17
Caproidae,0.2218,1.9707,Average over North Sea species in Caproidae,,,,,,,
Capros aper,0.2218,1.9707,5,10.5,14.5,North Sea and West coast of Scotland,Coull et al. (1989),,16,16
Chelidonichthys lucernus,0.008,3.061,23,17,62.5,North Sea and West coast of Scotland,Coull et al. (1989),48.4,,62.5
Chimaera monstrosa,0.0003,3.475,22,31.6,93.3,Algarve,Borges et al. (2003),67,,93.3
Ciliata mustela,0.0064,3,U,,,U,Bauchot and Bauchot (1978),20,45,45
Ciliata septentrionalis,0.0055,3.1785,351,,,Severn Estuary and Bristol Channel,Claridge and Gardner (1977),,17,17
Conger conger,0.0002,3.509,128,30,180,Bay of Biscay,Dorel (1986),,,180
Crystallogobius linearis,0.008,3.1614,Average over North Sea species in Gobiidae,,,,,5,5,5
Cyclopterus lumpus,0.0587,2.939,19,25,47,North Sea,Coull et al. (1989),,61,61
Diplecogaster bimaculata,0.0141,2.737,12,2,3.6,North Sea,Robinson et al. (2010),,,
Dipturus batis,0.0036,3.0787,8,25.6,69.8,North Sea and West coast of Scotland,Coull et al. (1989),254,250,254
Dipturus linteus,0.0036,3.0787,Average over North Sea species in Dipturus,,,,,,,
Echiichthys vipera,0.0129,2.947,28,1.7,13.2,North Sea,Robinson et al. (2010),14,15,15
Echiodon drummondii,0.0059,3.1304,Average over 10 North Sea species with closest surveyed maximum L,,,,,,,
Enchelyopus cimbrius,0.0035,3.1062,63,11,29,North Sea,Coull et al. (1989),43,41,43
Entelurus aequoreus,0.0002,3,U,,,U,Bauchot and Bauchot (1978),48,,48
Etmopterus spinax,0.0019,3.212,78,11.2,37.2,Algarve,Borges et al. (2003),47,,47
Eutrigla gurnardus,0.0034,3.26,240,16.5,40.5,"North Sea, Kattegat and Skaggerak",DATRAS (2011),46,50,50
Gadus morhua,0.0039,3.2434,"10,199",4.5,123.5,"North Sea, Kattegat and Skaggerak",DATRAS (2011),132,190,190
