Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Miscellaneous filter feeding pelagic fish,Maurolicus muelleri,Maurolicus muelleri,PLS,PEARLSIDE,,162187,127312,NA,0.016,2.7931,jo,NA,NA,3.43,PEL,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandeel,Gymnammodytes semisquamatus,Gymnammodytes semisquamatus,SMS,SMOOTH SANDEEL,,171680,126754,NA,0.5621,1.2296,2,NA,4,3.35,DEM,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halibut,Hippoglossus hippoglossus,Hippoglossus hippoglossus,HAL,HALIBUT,Atlantic halibut,172933,127138,204,0.235,1.797,8,12,96.8,4.53,DEM,4.537004353,200,200,1,1,Piscivore,Demersal,1,0,0,0
unclassified,Capros aper,Capros aper,BOF,BOAR FISH,,166320,127419,16,0.2218,1.9707,5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Caproidae,Caproidae,,Other,,166309,125613,NA,0.2218,1.9707,Average over North Sea species in Caproidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Leptoclinus maculatus,Leptoclinus maculatus,SNB,SPOTTED SNAKE BLENNY,,171603,127072,17,0.0244,2.0439,Average over North Sea species in Stichaeidae,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Lumpenus lampretaeformis,Lumpenus lumpretaeformis,,Small demersal fish,,171588,154675,49,0.0244,2.0439,11,16,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Stichaeidae,Stichaeidae,,Other,,171554,125566,NA,0.0244,2.0439,Average over North Sea species in Stichaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Lycenchelys sarsii,Lycenchelys sarsi,LCS,Small demersal fish,,165243,127101,20,0.0417,2.2532,Average over North Sea species in Zoarcidae,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Zoarcidae,Zoarcidae,EPX,EEL-POUTS,,165215,125575,24,0.0417,2.2532,Average over North Sea species in Zoarcidae,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
