SpeciesSciName,fishbaseName,Genus,Species,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,maximum.length,Ecotype,common.name,LFI_Fung_list,DEMPEL,Order,Group,LFI_OSPAR_list
Acantholabrus palloni,Acantholabrus palloni,Acantholabrus,palloni,5.861085737,-2.322949644,13.4008837,3.207667402,2.056848155,-1.881665439,5.167960435,15.86916669,31,Demersal,Scale-rayed wrasse,,Demersal,Perciformes,Other,Demersal
Aetomylaeus bovinus,Pteromylaeus bovinus,Pteromylaeus,bovinus,110.3893718,0.145679052,5466.432554,14.59248621,5.286349131,0.278446742,57.50201721,18.02435277,142,Benthopelagic,Bull ray,,Demersal,Myliobatiformes,Elasmobranchii,Demersal
Agonus cataphractus,Agonus cataphractus,Agonus,cataphractus,14.96218155,0.482797354,23.43946415,3.754293568,1.320116081,1.087639884,8.207854411,12.04026407,23,Demersal,Hooknose,Demersal,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Alepocephalus bairdii,Alepocephalus bairdii,Alepocephalus,bairdii,61.91951366,0.134920691,2180.729244,26.7541413,8.601891614,0.221208492,40.67824879,9.947288073,31,Bathypelagic,Baird's slickhead,Demersal,Demersal,Osmeriformes,Other,Pelagic
Alepocephalus rostratus,Alepocephalus rostratus,Alepocephalus,rostratus,34.99369428,0.216259604,404.2607819,15.49468656,5.107913858,0.378380871,23.47913591,11.6403774,59,Bathydemersal,Risso's smooth-head,,Demersal,Osmeriformes,Other,Demersal
Alosa,Oreochromis niloticus,Oreochromis,niloticus,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,47,Pelagic,Alosa,,Pelagic,Clupeiformes,Other,Pelagic
Alosa agone,Alosa agone,Alosa,agone,32.2352235,0.395850605,327.5860047,8.270754389,2.343134429,0.604273908,18.68128799,18.96208352,48,Pelagic,Agone,,Pelagic,Clupeiformes,Other,Pelagic
Alosa alosa,Alosa alosa,Alosa,alosa,67.84861926,0.312701356,3548.625076,10.44936425,3.000159251,0.465283476,36.85169211,19.84072578,69,Pelagic,Allis shad,,Pelagic,Clupeiformes,Other,Pelagic
Alosa fallax,Alosa fallax,Alosa,fallax,51.12125701,0.326346629,1248.699765,13.21282372,3.086096771,0.425035321,28.19650141,19.19619667,52,Pelagic,Twaite shad,,Pelagic,Clupeiformes,Other,Pelagic
Amblyraja radiata,Amblyraja radiata,Amblyraja,radiata,90.13534384,0.117085901,3986.722986,16.38698108,7.331823696,0.230668335,54.0158443,12.07381593,84,Demersal,Starry ray,Demersal,Demersal,Rajiformes,Elasmobranchii,Demersal
Ammodytidae,Oreochromis niloticus,Oreochromis,niloticus,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,54,Demersal,Sandeel,,Demersal,Perciformes,Other,Demersal
Anarhichas lupus,Anarhichas lupus,Anarhichas,lupus,126.211868,0.08355679,20218.6595,33.25780302,8.527846551,0.134972578,65.87790021,6.971175198,109,Demersal,Catfish,Demersal,Demersal,Perciformes,Other,Demersal
Anarhichas minor,Anarhichas minor,Anarhichas,minor,149.6982264,0.102126289,5603.162658,25.93568027,6.369736222,0.150704444,70.59280445,5.298232165,69,Demersal,Spotted catfish,,Demersal,Perciformes,Other,Demersal
Anguilla anguilla,Anguilla anguilla,Anguilla,anguilla,73.15660241,0.146120183,623.0901268,13.92377676,3.839594565,0.241325375,33.42601242,14.74786855,100,Demersal,European eel,Demersal,Demersal,Anguilliformes,Other,Demersal
Anthias anthias,Anthias anthias,Anthias,anthias,46.51598043,0.244285882,1222.822091,13.30215739,4.171935173,0.419867045,27.24055371,23.15632624,23,Demersal,Swallowtail seaperch,,Demersal,Perciformes,Other,Demersal
Aphanopus carbo,Aphanopus carbo,Aphanopus,carbo,133.3546069,0.196624737,3475.468447,12.93002436,3.110418729,0.301365657,57.64782503,16.27021443,109,Bathypelagic,Black scabbard,,Demersal,Perciformes,Other,Pelagic
Apletodon dentatus,Apletodon dentatus,Apletodon,dentatus,8.749922504,0.701983078,6.998484994,3.774061695,1.083017178,1.336621101,5.445207647,17.92399521,3,Demersal,Small-headed clingfish,,Demersal,Gobiesociformes,Other,Demersal
Arctozenus risso,Arctozenus risso,Arctozenus,risso,23.10341333,0.59904822,73.24824092,4.473815881,1.316700025,1.006509349,13.44051952,13.55849016,33,Bathypelagic,Spotted barracudina,,Demersal,Aulopiformes,Other,Pelagic
Argentina,Argentina silus,Argentina,silus,32.98857492,0.287467855,407.4451263,15.21263812,5.101870994,0.477813604,24.31750737,9.423316458,53.5,Bathydemersal,Argentine,,Demersal,Osmeriformes,Other,Demersal
Argentina silus,Argentina silus,Argentina,silus,43.81981139,0.199122535,717.3773123,21.54117433,7.118031866,0.288276196,32.906219,6.795460668,69,Bathydemersal,Greater argentine,,Demersal,Osmeriformes,Other,Demersal
Argentina sphyraena,Argentina sphyraena,Argentina,sphyraena,22.15733845,0.375813176,97.51294034,8.884101912,3.085710123,0.667351012,15.72879573,12.05117225,38,Bathydemersal,Lesser argentine,,Demersal,Osmeriformes,Other,Demersal
Argyropelecus aculeatus,Argyropelecus aculeatus,Argyropelecus,aculeatus,11.49192605,0.608201735,10.67245936,4.277636275,1.251687813,1.009344276,7.39771444,6.552362183,3,Bathypelagic,Lovely hatchetfish,,Demersal,Stomiiformes,Other,Pelagic
Argyropelecus gigas,Argyropelecus gigas,Argyropelecus,gigas,11.49192605,0.608201735,10.67245936,4.277636275,1.251687813,1.009344276,7.39771444,6.552362183,4,Bathypelagic,Hatchetfish,,Demersal,Stomiiformes,Other,Pelagic
Argyropelecus hemigymnus,Argyropelecus hemigymnus,Argyropelecus,hemigymnus,11.49192605,0.608201735,10.67245936,4.277636275,1.251687813,1.009344276,7.39771444,6.552362183,5,Bathypelagic,Half-naked hatchetfish,,Demersal,Stomiiformes,Other,Pelagic
Argyropelecus olfersii,Argyropelecus olfersii,Argyropelecus,olfersii,11.49192605,0.608201735,10.67245936,4.277636275,1.251687813,1.009344276,7.39771444,6.552362183,10,Bathypelagic,Hatchetfish,,Demersal,Stomiiformes,Other,Pelagic
Argyrosomus regius,Argyrosomus regius,Argyrosomus,regius,136.4697587,0.126074544,23491.07208,33.84716083,7.837160703,0.174337641,74.83945026,16.10239846,113,Benthopelagic,Meagre,,Demersal,Perciformes,Other,Demersal
Arnoglossus imperialis,Arnoglossus imperialis,Arnoglossus,imperialis,19.13476511,0.393017177,47.64096245,7.590466386,1.526842071,0.56344153,9.665126832,13.36343124,22,Demersal,Imperial scaldfish,Demersal,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Arnoglossus laterna,Arnoglossus laterna,Arnoglossus,laterna,15.67444346,0.385954282,22.83342385,6.49233372,1.287849988,0.594255972,7.461048713,13.25335373,27,Demersal,Scaldfish,Demersal,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Arnoglossus rueppelii,Arnoglossus rueppelii,Arnoglossus,rueppelii,19.13476511,0.393017177,47.64096245,7.590466386,1.526842071,0.56344153,9.665126832,13.36343124,20,Demersal,Ruppell's scaldback,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Arnoglossus thori,Arnoglossus thori,Arnoglossus,thori,18.74815716,0.409617703,43.27191969,8.568386456,1.648340917,0.527915221,9.987810726,11.52725887,16,Demersal,Thor's scaldfish,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Artediellus atlanticus,Artediellus atlanticus,Artediellus,atlanticus,22.26768489,0.204442134,115.4497791,10.99098974,3.398194278,0.35722705,13.11203614,5.745032074,12,Demersal,Atlantic hookear sculpin,,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Atherina presbyter,Atherina presbyter,Atherina,presbyter,13.02247289,0.519597182,20.93599615,4.436200587,1.389908084,0.97821588,8.024854283,13.73155077,16,Pelagic,Sand smelt,,Pelagic,Atheriniformes,Other,Pelagic
Auxis rochei rochei,Auxis rochei,Auxis,rochei,51.43722137,0.420351761,1415.311286,6.904657611,1.953144705,0.70798452,28.64027105,20.39510335,44,Pelagic,Bullet tuna,,Pelagic,Perciformes,Other,Pelagic
Balistes capriscus,Balistes capriscus,Balistes,capriscus,40.32065152,0.304776504,1250.016224,6.202053482,2.26262164,0.937330546,20.15813964,22.77480544,46,Demersal,Grey triggerfish,,Demersal,Tetraodontiformes,Other,Demersal
Bathysolea profundicola,Bathysolea profundicola,Bathysolea,profundicola,17.74893992,0.504065225,48.94299206,7.930506777,1.632020143,0.603344133,10.89410925,15.29506162,27,Bathypelagic,Deepwater sole,,Demersal,Pleuronectiformes,Pleuronectiformes,Pelagic
Bellottia apoda,Bellottia apoda,Bellottia,apoda,25.20363311,0.419848277,122.8788473,6.87397069,1.969612902,0.722690883,14.8186666,14.6811786,5,Bathydemersal,Bellottia,,Demersal,Ophidiiformes,Other,Demersal
Belone belone,Belone belone,Belone,belone,42.41864453,0.308342425,331.0881826,7.771951781,2.377286451,0.560076204,22.36521353,19.31183033,81,Pelagic,Garfish,,Pelagic,Beloniformes,Other,Pelagic
Belone svetovidovi,Belone svetovidovi,Belone,svetovidovi,46.08253413,0.364605862,518.3123476,7.163716312,2.17685247,0.634659259,24.7299924,20.51220593,62,Pelagic,Short-beaked garfish,,Pelagic,Beloniformes,Other,Pelagic
Benthodesmus elongatus,Benthodesmus elongatus,Benthodesmus,elongatus,80.42132481,0.305189278,1326.155856,9.126173,2.180005252,0.470672045,37.43621249,18.85377594,60,Benthopelagic,Elongate frostfish,,Demersal,Perciformes,Other,Demersal
Benthosema glaciale,Benthosema glaciale,Benthosema,glaciale,7.935713178,0.442282219,5.645712772,6.478806154,2.016222131,1.04117729,5.377796864,7.858807154,7,Pelagic,Glacier lantern fish,,Pelagic,Myctophiformes,Other,Pelagic
Beryx decadactylus,Beryx decadactylus,Beryx,decadactylus,58.12736961,0.105717777,3121.273018,18.70963947,6.777692319,0.241878024,32.10625916,10.04288789,48,Bathydemersal,Alfonsino,,Demersal,Beryciformes,Other,Demersal
Beryx splendens,Beryx splendens,Beryx,splendens,52.51714124,0.138910542,3132.678619,14.75793536,5.311928728,0.32489061,28.86626937,15.60819684,43,Benthopelagic,Spendid alfonsino,,Demersal,Beryciformes,Other,Demersal
Blennius ocellaris,Blennius ocellaris,Blennius,ocellaris,22.19161745,0.437777677,118.7950183,6.880851865,1.670471947,0.805042599,12.32909972,19.04251131,24,Demersal,Butterfly blenny,,Demersal,Perciformes,Other,Demersal
Bonapartia pedaliota,Bonapartia pedaliota,Bonapartia,pedaliota,13.91044324,0.614789683,18.97807762,4.249806138,1.250946448,1.037042866,8.692957952,8.838878553,7,Bathypelagic,Longray fangjaw,,Demersal,Stomiiformes,Other,Pelagic
Boops boops,Boops boops,Boops,boops,31.52389526,0.211700223,386.3557473,12.66755417,2.965724905,0.384664931,16.25432791,19.22192093,49,Demersal,Bogue,,Demersal,Perciformes,Other,Demersal
Borostomias antarcticus,Borostomias antarcticus,Borostomias,antarcticus,26.92506433,0.389215753,122.3932144,6.528780755,1.95883584,0.642462193,16.05229634,6.02147632,5,Bathydemersal,Snaggletooth,,Demersal,Stomiiformes,Other,Demersal
